,Unnamed: 0,book_id,book_language,book_series_number,book_title,book_author,book_year,sentence_page,sentence_id,sentence_language,sentence_type,sentence_number,sentence_text,sentence_sentiment_score,sentence_lda,sentence_lda_scores
12,12,1,en,4.1,On Weaving,Anni Albers,1974,52,13,en,text,13,"Be­ginning means exploration, selection, development, a potent vitality not yet limited, not circumscribed by the tried and traditional.",-0.036,"['bind', 'futur', 'set', 'find', 'chest', 'workshop']","[0.43, 0.426, 0.4, 0.628, 0.334, 0.307]"
13,13,1,en,4.1,On Weaving,Anni Albers,1974,52,14,en,text,14,"For those of us con­ cerned in our work with the ad ventme of search, going hack to beginnings i~ seeing our~elves m irrored in othcn ' work, not in the result but in the process.",0,"['materi', 'later', 'lead', 'technisch', 'histor', 'hochschul']","[0.418, 0.35, 0.349, 0.544, 0.307, 0.282]"
14,14,1,en,4.1,On Weaving,Anni Albers,1974,52,15,en,text,15,"Therefore, I find it intriguing to look at early attempts in history, not for the sake of historical interest.",0.2,"['point', 'look', 'histori', 'technisch', 'histor', 'hochschul']","[0.506, 0.458, 0.428, 0.46, 0.223, 0.198]"
15,15,1,en,4.1,On Weaving,Anni Albers,1974,52,16,en,text,16,"that is, of looking back, but for the sake of looking forward from a point way back in time in order to experience vi­cariously the exhilaration of accomplishment reached step by step.",0,"['point', 'look', 'histori']","[0.981, 0.933, 0.903]"
16,16,1,en,4.1,On Weaving,Anni Albers,1974,52,17,en,text,17,"And I try to take my students also on this journey back into early time, to the beginnings of textiles.",0,"['begin', 'speak', 'streb', 'theori', 'music', 'generat']","[0.489, 0.452, 0.442, 0.38, 0.318, 0.278]"
17,17,1,en,4.1,On Weaving,Anni Albers,1974,52,18,en,text,18,"There is more than one theory; and, since we do not really know, we may as well speculate.",0.5,"['theori', 'music', 'generat', 'parallel', 'seen', 'detail']","[0.48, 0.418, 0.378, 0.429, 0.422, 0.387]"
18,18,1,en,4.1,On Weaving,Anni Albers,1974,52,19,en,text,19,Hides of animals are probably the closest prototype to fabrics.,0,"['color', 'light', 'relationship', 'singl', 'tension', 'thought']","[0.3, 0.265, 0.256, 0.327, 0.27, 0.267]"
19,19,1,en,4.1,On Weaving,Anni Albers,1974,52,20,en,text,20,They are flat and pliable and thererore useful in quite specific ways.,0.15,"['grad', 'care', 'horizont', 'plane', 'assembl', 'mobil']","[0.345, 0.313, 0.31, 0.381, 0.328, 0.323]"
20,20,1,en,4.1,On Weaving,Anni Albers,1974,52,21,en,text,21,"We can cover ourselves with them, and this second layer of skin gives us protection from cold, sun, and wind.",-0.3,"['number', 'weav', 'thread', 'photo', 'student', 'stock']","[0.35, 0.344, 0.312, 0.339, 0.321, 0.3]"
21,21,1,en,4.1,On Weaving,Anni Albers,1974,52,22,en,text,22,They can shelter us as roofs and walls.,0,"['element', 'wall', 'form']","[0.845, 0.587, 0.554]"
22,22,1,en,4.1,On Weaving,Anni Albers,1974,52,23,en,text,23,"When not in use they can be folded, that is, reduced in size, and are miraculous in that respect when contrasted with stone or wood.",0,"['small', 'eng', 'law', 'wood', 'pari', 'institut']","[0.377, 0.312, 0.301, 0.247, 0.222, 0.212]"
23,23,1,en,4.1,On Weaving,Anni Albers,1974,52,24,en,text,24,"Perhaps the idea of fabricating a stuff of such extraordinary nature started the work in that direction; perhaps,",0.167,"['idea', 'influenc', 'experiment', 'natur', 'patent', 'sens']","[0.486, 0.483, 0.478, 0.462, 0.328, 0.241]"
24,24,1,en,4.1,On Weaving,Anni Albers,1974,52,25,en,text,25,"on the other hand, it all began not imitatively but by someone adding one bit of a soft strip of bark, sinew, vine, or whatever, to another, fastening them together in various ways, ex-",-0.008,"['plane', 'assembl', 'mobil', 'idea', 'influenc', 'experiment']","[0.273, 0.22, 0.215, 0.225, 0.222, 0.217]"
25,25,1,en,4.1,On Weaving,Anni Albers,1974,7,26,en,text,26,"Contents Introductory Note: 13 Preface 15 ONE Weaving, Hand 19 TWO The Loom 22 THREE The Fundamental Constructions 38 FOUR Draft Notation 44 Five Modification and Composite Weaves 47 SIX Early Techniques of Thread Interlacing 52 SEVEN Interrelation of Fiber and Construction 59 EIGHT Tactile Sensibility 62 NINE Tapesty 66 TEN Designing as Visual Organization 71 Acknowledgments 197 Plate Credits 199 7",0,"['number', 'weav', 'thread', 'especi', 'task', 'composit']","[0.229, 0.223, 0.191, 0.19, 0.166, 0.161]"
26,26,1,en,4.1,On Weaving,Anni Albers,1974,95,27,en,text,27,Plate 15. The fundamental constructions.,0,"['plate', 'common', 'shap', 'tag', 'precis', 'fundament']","[0.411, 0.392, 0.372, 0.394, 0.358, 0.357]"
27,27,1,en,4.1,On Weaving,Anni Albers,1974,60,28,en,text,28,60: On Weaving low for a sufficient number of threads in a given space to form a thick mate­rial.,-0.15,"['number', 'weav', 'thread', 'moment', 'sphere', 'given']","[0.551, 0.545, 0.513, 0.262, 0.22, 0.219]"
28,28,1,en,4.1,On Weaving,Anni Albers,1974,60,29,en,text,29,"In the plain weave, wool also becomes harder than it is by nature.",-0.157,"['number', 'weav', 'thread', 'begin', 'speak', 'streb']","[0.601, 0.595, 0.563, 0.358, 0.321, 0.311]"
29,29,1,en,4.1,On Weaving,Anni Albers,1974,60,30,en,text,30,"On the other hand, it will wear well in this somewhat open weave, since all threads are closely tied in and are prevented from being caught accidentally.",-0.062,"['number', 'weav', 'thread', 'close', 'previous', 'lamp']","[0.4, 0.394, 0.362, 0.417, 0.344, 0.343]"
30,30,1,en,4.1,On Weaving,Anni Albers,1974,60,31,en,text,31,"Out of the interaction between silk, the softest of fibers, and a plain weave, the stiff­est of the basic constructions, comes taffeta - a silk become stiff. In the combination of linen and the plain weave, we had the mutual supporting of common traits; in the combination of silk and the plain weave, we have a clash of traits producing a material with new and distinctive characteristics.",-0.134,"['harmoni', 'ein', 'floor', 'number', 'weav', 'thread']","[0.642, 0.626, 0.599, 0.308, 0.302, 0.27]"
31,31,1,en,4.1,On Weaving,Anni Albers,1974,60,32,en,text,32,So striking is this new combination that the plain weave acquires still an­other name when used with silk: the taffeta weave.,0.17,"['number', 'weav', 'thread', 'harmoni', 'ein', 'floor']","[0.43, 0.424, 0.392, 0.327, 0.311, 0.284]"
32,32,1,en,4.1,On Weaving,Anni Albers,1974,60,33,en,text,33,"Every weave has, of course, a material that seems best suited to its spe­cial features; or, the other way around, every fiber has a weave in which its specialty seems to be exhibited most advantageously.",0.458,"['kitchen', 'seri', 'attitud', 'number', 'weav', 'thread']","[0.377, 0.29, 0.266, 0.298, 0.292, 0.26]"
33,33,1,en,4.1,On Weaving,Anni Albers,1974,60,34,en,text,34,"Wool, for instance, which suffers to some degree when used in a plain weave, profits from a twill weave.",-0.214,"['number', 'weav', 'thread', 'complex', 'abstract', 'rule']","[0.433, 0.427, 0.395, 0.216, 0.212, 0.2]"
34,34,1,en,4.1,On Weaving,Anni Albers,1974,60,35,en,text,35,"The twill strikes us as most suitable for clothing purposes, and so does wool.",0.5,"['water', 'sprech', 'american', 'especi', 'task', 'composit']","[0.653, 0.615, 0.601, 0.254, 0.23, 0.225]"
35,35,1,en,4.1,On Weaving,Anni Albers,1974,60,36,en,text,36,"A twill forms a much more pliable material than does the plain weave, and thus the softness of the wool will be accentuated.",-0.071,"['begin', 'speak', 'streb', 'number', 'weav', 'thread']","[0.435, 0.398, 0.388, 0.356, 0.35, 0.318]"
36,36,1,en,4.1,On Weaving,Anni Albers,1974,60,37,en,text,37,"Also the more widely spaced imersections of warp and weft allow the threads to be set more closely, as we noted before, and thus makes for a heavier material, increasing the wool's capacity to preserve warmth.",0.3,"['number', 'weav', 'thread', 'motiv', 'cent', 'extrem']","[0.363, 0.357, 0.325, 0.184, 0.18, 0.167]"
37,37,1,en,4.1,On Weaving,Anni Albers,1974,60,38,en,text,38,"One reason for not using a satin weave with wool - a combination which would also make for a soft, pliable, and closely packed material - is that here the threads float over too many threads of either warp or weft to sustain hard wear; they may easily be snagged and form ungainly loops on the surface.",0.103,"['begin', 'speak', 'streb', 'number', 'weav', 'thread']","[0.486, 0.449, 0.439, 0.353, 0.347, 0.315]"
38,38,1,en,4.1,On Weaving,Anni Albers,1974,60,39,en,text,39,The twill weave strikes just the right balance of pliability and practicality for wear.,0,"['number', 'weav', 'thread', 'figur', 'continu', 'subject']","[0.351, 0.345, 0.313, 0.379, 0.336, 0.32]"
39,39,1,en,4.1,On Weaving,Anni Albers,1974,60,40,en,text,40,Wool in a twill weave is the classical combination we know as tweeds.,0,"['fast', 'geometr', 'pigment', 'begin', 'speak', 'streb']","[0.422, 0.379, 0.334, 0.252, 0.215, 0.205]"
40,40,1,en,4.1,On Weaving,Anni Albers,1974,60,41,en,text,41,Twills in cotton form the washable materials of our work clothes - of our overalls for instance - the firmly packed fabrics embodying the typical characteristics of both the cotton and the twill.,0,"['complex', 'abstract', 'rule', 'materi', 'later', 'lead']","[0.676, 0.672, 0.66, 0.368, 0.3, 0.299]"
41,41,1,en,4.1,On Weaving,Anni Albers,1974,60,42,en,text,42,"It is no striking combination, but it is suitable enough for many purposes.",0.35,"['haus', 'band', 'attempt', 'vertic', 'horizont', 'sculptur']","[0.744, 0.687, 0.552, 0.345, 0.303, 0.299]"
42,42,1,en,4.1,On Weaving,Anni Albers,1974,60,43,en,text,43,Twill woven in silk is another case of hybrid traits.,0,"['lini', 'case', 'photograph', 'harmoni', 'ein', 'floor']","[0.482, 0.368, 0.351, 0.391, 0.375, 0.348]"
43,43,1,en,4.1,On Weaving,Anni Albers,1974,60,44,en,text,44,It results in a material that takes advantage neither of the special quality of silk nor of that of the twill weave.,0,"['materi', 'later', 'lead', 'lock', 'bank', 'sure']","[0.413, 0.345, 0.344, 0.346, 0.22, 0.196]"
44,44,1,en,4.1,On Weaving,Anni Albers,1974,60,45,en,text,45,"The outcome, however, is a most useful fabric, though one we do not boast about: silk linings for coats, suits, etc.",0.4,"['line', 'gold', 'form', 'start', 'total', 'klee']","[0.612, 0.199, 0.187, 0.253, 0.242, 0.239]"
45,45,1,en,4.1,On Weaving,Anni Albers,1974,60,46,en,text,46,"It is softer than taffeta, not as impractical as satin, and smoother than a twill woven in any other material.",-0.125,"['materi', 'later', 'lead', 'format', 'tempo', 'face']","[0.393, 0.325, 0.324, 0.411, 0.345, 0.312]"
46,46,1,en,4.1,On Weaving,Anni Albers,1974,60,47,en,text,47,"Again we see the twill appearing in our clothing material. Other fibers, other constructions, and their various combinations en-",-0.188,"['characterist', 'show', 'skill', 'materi', 'later', 'lead']","[0.437, 0.426, 0.419, 0.382, 0.314, 0.313]"
47,47,1,en,4.1,On Weaving,Anni Albers,1974,19,48,en,text,48,"CHAPTER ONE Weaving, Hand ONE of the most ancient crafts, hand weaving is a method of forming a pliable plane of threads by interlacing them rectangularly.",0.5,"['number', 'weav', 'thread', 'hand', 'tabl', 'oper']","[0.496, 0.49, 0.458, 0.443, 0.263, 0.234]"
48,48,1,en,4.1,On Weaving,Anni Albers,1974,19,49,en,text,49,"Invented in a preceramic age, it has remained essentially unchanged to this day.",0,"['lini', 'case', 'photograph', 'london', 'frame', 'simpli']","[0.432, 0.318, 0.301, 0.325, 0.255, 0.235]"
49,49,1,en,4.1,On Weaving,Anni Albers,1974,19,50,en,text,50,Even the final mechani­zation of the craft through introduction of power machinery has not changed the basic principle of weaving.,0,"['deutsch', 'chamber', 'yield', 'number', 'weav', 'thread']","[0.548, 0.449, 0.44, 0.384, 0.378, 0.346]"
50,50,1,en,4.1,On Weaving,Anni Albers,1974,19,51,en,text,51,"Other techniques had been devised to the same end: single element tech­niques - looping, netting, knitting, crocheting- and multiple element tech­niques- knotting, coiling, twining, braiding.",-0.049,"['gothic', 'europ', 'late', 'hous', 'fort', 'vacuum']","[0.307, 0.297, 0.226, 0.262, 0.244, 0.243]"
51,51,1,en,4.1,On Weaving,Anni Albers,1974,19,52,en,text,52,"In weaving, in the Iatter group, one system of threads, the warp, crosses another one, the weft, at right angles and the manner of intersecting forms the different weaves.",0.143,"['number', 'weav', 'thread', 'photographi', 'mathemat', 'architectur']","[0.605, 0.599, 0.567, 0.343, 0.318, 0.297]"
52,52,1,en,4.1,On Weaving,Anni Albers,1974,19,53,en,text,53,Gradually the various phases of manipulating warp and weft were mechanized until the technique of weaving surpassed all others in efliciency.,0,"['number', 'weav', 'thread', 'singl', 'tension', 'thought']","[0.469, 0.463, 0.431, 0.255, 0.198, 0.195]"
53,53,1,en,4.1,On Weaving,Anni Albers,1974,19,54,en,text,54,"Whereas single-thread methods can be handled with few tools, weaving needs more complicated equipment since the warp has to be given tension.",-0.067,"['number', 'weav', 'thread', 'hang', 'possibl', 'handl']","[0.372, 0.366, 0.334, 0.318, 0.25, 0.248]"
54,54,1,en,4.1,On Weaving,Anni Albers,1974,19,55,en,text,55,"Weavering , then,is the process of passing the weft between taut, alternately raised warps, as in the basic plain weave, or between other combinations of selected wraps, and pressing it into place.",-0.071,"['number', 'weav', 'thread', 'famili', 'caus', 'date']","[0.709, 0.703, 0.671, 0.286, 0.242, 0.239]"
55,55,1,en,4.1,On Weaving,Anni Albers,1974,19,56,en,text,56,"Earliest weaving was done on the warp-weight loom, where warps were suspended from an upper bar and weighted at bottom.",0,"['number', 'weav', 'thread', 'water', 'sprech', 'american']","[0.465, 0.459, 0.427, 0.299, 0.261, 0.247]"
56,56,1,en,4.1,On Weaving,Anni Albers,1974,19,57,en,text,57,"It was used in ancient Greece and more recently, by Indians of the North Pacific American coast.",0.25,"['warm', 'simpl', 'build', 'water', 'sprech', 'american']","[0.494, 0.382, 0.374, 0.488, 0.45, 0.436]"
57,57,1,en,4.1,On Weaving,Anni Albers,1974,19,58,en,text,58,"Next came the two-bar loom, with warp stretched from bar to bar, or, for extended length, wound onto the bars.",0,"['singl', 'tension', 'thought', 'extend', 'boundari', 'seal']","[0.369, 0.312, 0.309, 0.222, 0.211, 0.21]"
58,58,1,en,4.1,On Weaving,Anni Albers,1974,145,59,en,text,59,Slit tapestry with wrapped to outline design.,0,"['visual', 'pictur', 'bauhaus', 'haus', 'band', 'attempt']","[0.452, 0.431, 0.424, 0.559, 0.502, 0.367]"
59,59,1,en,4.1,On Weaving,Anni Albers,1974,31,60,en,text,60,"The Loom : 31 A primitive loom, used in India among other places, gives us insight into early ways of suspending the roller.",-0.012,"['salon', 'respons', 'indic', 'heut', 'leg', 'research']","[0.382, 0.358, 0.355, 0.657, 0.336, 0.313]"
60,60,1,en,4.1,On Weaving,Anni Albers,1974,31,61,en,text,61,"The loom was placed under a tree and an overhanging branch was used to hold it. To make the weaver independent, no doubt.",0,"['effect', 'linear', 'take', 'hang', 'possibl', 'handl']","[0.366, 0.274, 0.257, 0.269, 0.201, 0.199]"
61,61,1,en,4.1,On Weaving,Anni Albers,1974,31,62,en,text,62,"of such specific locality and the exposure to weather, a framework with uprighr posts was developed to act as support for the roller-shaft con­trivance.",0.05,"['moment', 'sphere', 'given', 'grad', 'care', 'horizont']","[0.283, 0.241, 0.24, 0.24, 0.208, 0.205]"
62,62,1,en,4.1,On Weaving,Anni Albers,1974,31,63,en,text,63,"Once the idea of suspension had taken hold, it was extended to include also the batten, which had gone through its own phases of transformation.",0.6,"['spiral', 'french', 'hold', 'transport', 'vari', 'pullman']","[0.311, 0.309, 0.302, 0.199, 0.194, 0.188]"
63,63,1,en,4.1,On Weaving,Anni Albers,1974,31,64,en,text,64,"Here, then, was the fully developed shaft loom with free swinging batten.",0.1,"['observ', 'lung', 'agricultur', 'heut', 'leg', 'research']","[0.678, 0.655, 0.648, 0.645, 0.324, 0.301]"
64,64,1,en,4.1,On Weaving,Anni Albers,1974,31,65,en,text,65,It was the loom that was to take care of the textile needs of many peoples for centuries to come.,0,"['industriell', 'knowledg', 'suggest', 'peopl', 'plan', 'steam']","[0.456, 0.441, 0.437, 0.384, 0.319, 0.308]"
65,65,1,en,4.1,On Weaving,Anni Albers,1974,31,66,en,text,66,"like the earlier invention of the heddle, caused a rise in cloth production that must greatly have broadened the inceptive idea of the usefulness of textiles.",0.4,"['vertic', 'horizont', 'sculptur', 'bath', 'definit', 'earlier']","[0.384, 0.342, 0.338, 0.436, 0.278, 0.271]"
66,66,1,en,4.1,On Weaving,Anni Albers,1974,31,67,en,text,67,"For, as need presses toward fulfillment, so does obtainable fulfillment excite need - a generative cycle, spiralling to dimensions of both need and productivity that must seem excessiveto any generation earlier than the one participating in it.",-0.25,"['spiral', 'french', 'hold']","[0.749, 0.747, 0.74]"
67,67,1,en,4.1,On Weaving,Anni Albers,1974,31,68,en,text,68,"Though it is believed to have been devised by the Chinese specifically for the weaving of silk, the shaft or treadle loom later came universally into allround use.",-0.05,"['harmoni', 'ein', 'floor', 'hang', 'possibl', 'handl']","[0.268, 0.252, 0.225, 0.258, 0.19, 0.188]"
68,68,1,en,4.1,On Weaving,Anni Albers,1974,31,69,en,text,69,"It is likely that until the third century A.D. its use, together with the art of silk weaving, remained confined to China.",0,"['harmoni', 'ein', 'floor', 'analys', 'diagram', 'element']","[0.55, 0.534, 0.507, 0.36, 0.257, 0.233]"
69,69,1,en,4.1,On Weaving,Anni Albers,1974,31,70,en,text,70,"Gradually, however, it was taken over by other parts of the East and finally reached the West: first Spain and Italy; later: France, Germany, and England.",0.042,"['part', 'reach', 'sign', 'school', 'england', 'train']","[0.374, 0.322, 0.314, 0.233, 0.23, 0.22]"
70,70,1,en,4.1,On Weaving,Anni Albers,1974,31,71,en,text,71,"In all essentials, it is also the loom of our time, though it took further centuries to transform it into the miraculous instrument of precision and speed that it is today.",0,"['london', 'frame', 'simpli', 'chicago', 'phenomenon', 'regard']","[0.347, 0.277, 0.257, 0.313, 0.288, 0.283]"
71,71,1,en,4.1,On Weaving,Anni Albers,1974,31,72,en,text,72,For hundreds of years it remained in the stage it had reached.,0,"['gothic', 'europ', 'late', 'part', 'reach', 'sign']","[0.533, 0.523, 0.452, 0.33, 0.278, 0.27]"
72,72,1,en,4.1,On Weaving,Anni Albers,1974,31,73,en,text,73,"Though variations were invented, they all operated within the confines of the fundamental principles on which it was built.",0,"['line', 'gold', 'form', 'year', 'high', 'earli']","[0.807, 0.394, 0.382, 0.304, 0.257, 0.253]"
73,73,1,en,4.1,On Weaving,Anni Albers,1974,31,74,en,text,74,"We have, in following the development of weaving equipment, taken the viewpoint that saving time was a leading concern.",0,"['bind', 'futur', 'set', 'materi', 'later', 'lead']","[0.328, 0.324, 0.298, 0.306, 0.238, 0.237]"
74,74,1,en,4.1,On Weaving,Anni Albers,1974,31,75,en,text,75,"For hundreds of years, however , no inventions were added that markedly increased the speed of weaving.",0.1,"['year', 'high', 'earli', 'number', 'weav', 'thread']","[0.39, 0.343, 0.339, 0.267, 0.261, 0.229]"
75,75,1,en,4.1,On Weaving,Anni Albers,1974,31,76,en,text,76,"The inventions were, however, significant in another respect: in reconquering some of the lost range that went with the mechanization of operations.",0.375,"['passiv', 'rapid', 'respect', 'gross', 'bodi', 'aesthet']","[0.349, 0.335, 0.322, 0.607, 0.353, 0.332]"
76,76,1,en,4.1,On Weaving,Anni Albers,1974,31,77,en,text,77,"Mention should first be made of a shedding device, introduced by the Chinese so it seems, that modified the original countermovement of pairs of",0.208,"['format', 'tempo', 'face', 'extend', 'boundari', 'seal']","[0.397, 0.331, 0.298, 0.197, 0.186, 0.185]"
77,77,1,en,4.1,On Weaving,Anni Albers,1974,35,78,en,text,78,The Loom 35 one to be set up in the United States was in 1813. The effect of the mechanized loom on time saved and thereby on increased productivity is beyond computation.,0,"['white', 'black', 'demand', 'effect', 'linear', 'take']","[0.399, 0.395, 0.361, 0.42, 0.328, 0.311]"
78,78,1,en,4.1,On Weaving,Anni Albers,1974,35,79,en,text,79,"While England concerned itself with the general problem of mechanizing weaving, France took up the particular one of substituting a mechanism for the drawboy in the operation of the complicated shedding system of the pattern loom.",-0.225,"['school', 'england', 'train', 'number', 'weav', 'thread']","[0.279, 0.276, 0.266, 0.275, 0.269, 0.237]"
79,79,1,en,4.1,On Weaving,Anni Albers,1974,35,80,en,text,80,"Various efforts were made by Bouchon, Falcon, and Vaucasson.",0,[],[]
80,80,1,en,4.1,On Weaving,Anni Albers,1974,35,81,en,text,81,"all during, the middle of the eighteeth century, but none of the results was practicable.",0,"['visual', 'pictur', 'bauhaus', 'materi', 'later', 'lead']","[0.592, 0.571, 0.564, 0.4, 0.332, 0.331]"
81,81,1,en,4.1,On Weaving,Anni Albers,1974,35,82,en,text,82,"an improve­ment on Vaucassion's, that proved successful.",0.75,"['method', 'ide', 'instrument', 'materi', 'later', 'lead']","[0.582, 0.528, 0.487, 0.342, 0.274, 0.273]"
82,82,1,en,4.1,On Weaving,Anni Albers,1974,35,83,en,text,83,It rendered the draw-loom's shedding apparatus automatic by retaining the weighted leashes through which the separate warp threads ran and by fastening them to wire hooks that were raised by wire blades or deflected into a position that prevented them from being raised - a selection controlled by a chain of cards perforated in accordance with the pattern.,0,"['organ', 'bring', 'head', 'number', 'weav', 'thread']","[0.869, 0.858, 0.742, 0.26, 0.254, 0.222]"
83,83,1,en,4.1,On Weaving,Anni Albers,1974,35,84,en,text,84,This chain rotated around a cylinder which,0,"['squar', 'appli', 'firm', 'end', 'chair', 'have']","[0.407, 0.398, 0.398, 0.515, 0.408, 0.387]"
84,84,1,en,4.1,On Weaving,Anni Albers,1974,35,85,en,text,85,itself was given quarter turns by a treadle.,0,[],[]
85,85,1,en,4.1,On Weaving,Anni Albers,1974,35,86,en,text,86,"besides the enormous simplification that this mechanical invention meant for figure weaving, it had the advantage that designs no longer had to be tied up cord by cord.",0,"['close', 'previous', 'lamp']","[0.509, 0.436, 0.435]"
86,86,1,en,4.1,On Weaving,Anni Albers,1974,35,87,en,text,87,"By an easy exchange of the perforated cards, any design could be woven that was calculated for the number of warps within the particular repeats for which the loom was equipped by its leash and cord set-up.",0.467,"['furnitur', 'automat', 'harmon', 'number', 'weav', 'thread']","[0.664, 0.535, 0.516, 0.231, 0.225, 0.193]"
87,87,1,en,4.1,On Weaving,Anni Albers,1974,35,88,en,text,88,"Whereas previously, a loom was rigged up cumbersomely for one pattern and was repeatedly used for just the one, a shift from one to another was so easy now that the market became flooded with designs of all kinds.",0.133,"['heut', 'leg', 'research', 'furnitur', 'automat', 'harmon']","[0.635, 0.314, 0.291, 0.383, 0.254, 0.235]"
88,88,1,en,4.1,On Weaving,Anni Albers,1974,35,89,en,text,89,"In the struggle for the attention of the buying public, the manufacturers outdid each other with constant changes of design - a situation we are still witnessing today.",-0.042,"['field', 'beauti', 'possibl', 'halt', 'general', 'roman']","[0.308, 0.209, 0.207, 0.367, 0.242, 0.224]"
89,89,1,en,4.1,On Weaving,Anni Albers,1974,35,90,en,text,90,The modern age of power weaving began in earnest when the Jacquard shedding mechanism was attached to the mechanized loom.,0.2,"['idea', 'influenc', 'experiment', 'number', 'weav', 'thread']","[0.485, 0.482, 0.477, 0.321, 0.315, 0.283]"
90,90,1,en,4.1,On Weaving,Anni Albers,1974,35,91,en,text,91,"In the second half of the nineteenth century, the technical genius of the Western world perfected the loom to the point it now has reached.",-0.042,"['period', 'prof', 'bauhausbuch', 'land', 'need', 'question']","[0.342, 0.212, 0.197, 0.275, 0.256, 0.242]"
91,91,1,en,4.1,On Weaving,Anni Albers,1974,35,92,en,text,92,It operates with the speed and precision that we expect and enjoy in the instruments that serve us.,0.4,"['grad', 'care', 'horizont', 'method', 'ide', 'instrument']","[0.23, 0.198, 0.195, 0.317, 0.263, 0.222]"
92,92,1,en,4.1,On Weaving,Anni Albers,1974,35,93,en,text,93,Among the various problems that had to be solved was a self-acting motion to stop the loom should a weft thread break or a new bobbin have to replace one that was used up.,0.045,"['number', 'weav', 'thread', 'took', 'optic', 'problem']","[0.296, 0.29, 0.258, 0.29, 0.238, 0.231]"
93,93,1,en,4.1,On Weaving,Anni Albers,1974,35,94,en,text,94,"Furthermore, ways had to be found to unwind the warp and wind up the woven cloth automatically.",0,"['wind', 'exact', 'path', 'plane', 'assembl', 'mobil']","[0.296, 0.284, 0.257, 0.33, 0.277, 0.272]"
94,94,1,en,4.1,On Weaving,Anni Albers,1974,35,95,en,text,95,"An invention was also necessary to provide an instrument that would stretch the warp threads into the exact width- that is, a templet, which would not need adjusting every few inches as is the case in hand weaving.",0.025,"['land', 'need', 'question', 'number', 'weav', 'thread']","[0.329, 0.31, 0.296, 0.296, 0.29, 0.258]"
